,index,bowler,innings,runs,deliveries,wickets,bowled,lbw,caught,c_and_b,stumped,bowling_team,match_id
431,2,CR Brathwaite,1,35,48,2.0,2.0,0.0,0.0,0.0,0.0,West Indies,932849
432,3,F Behardien,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932849
433,4,Imran Tahir,2,38,63,2.0,2.0,0.0,0.0,0.0,0.0,South Africa,932849
434,5,JE Taylor,1,35,43,1.0,0.0,0.0,0.0,1.0,0.0,West Indies,932849
435,6,JO Holder,1,37,60,1.0,1.0,0.0,0.0,0.0,0.0,West Indies,932849
436,7,JP Duminy,2,12,7,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,932849
437,8,K Rabada,2,31,57,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932849
438,9,KA Pollard,1,11,12,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932849
439,10,KJ Abbott,2,26,60,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932849
440,11,SJ Benn,1,41,60,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932849
441,12,SP Narine,1,24,60,6.0,0.0,4.0,2.0,0.0,0.0,West Indies,932849
442,0,AG Cremer,1,52,61,2.0,0.0,0.0,1.0,0.0,1.0,Zimbabwe,931394
443,1,Al-Amin Hossain,2,44,48,1.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,931394
444,2,Arafat Sunny,2,47,57,1.0,0.0,0.0,0.0,1.0,0.0,Bangladesh,931394
445,3,E Chigumbura,1,29,36,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,931394
446,4,LM Jongwe,1,47,57,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,931394
447,5,MN Waller,1,24,18,1.0,0.0,0.0,0.0,0.0,1.0,Zimbabwe,931394
448,6,Mashrafe Mortaza,2,39,55,1.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,931394
449,7,Mustafizur Rahman,2,33,49,5.0,1.0,0.0,3.0,1.0,0.0,Bangladesh,931394
450,8,Nasir Hossain,2,36,42,1.0,0.0,1.0,0.0,0.0,0.0,Bangladesh,931394
451,9,Sabbir Rahman,2,12,12,1.0,1.0,0.0,0.0,0.0,0.0,Bangladesh,931394
452,10,Sikandar Raza,1,44,50,1.0,0.0,0.0,0.0,0.0,1.0,Zimbabwe,931394
453,11,T Muzarabani,1,21,24,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,931394
454,12,T Panyangara,1,47,62,1.0,1.0,0.0,0.0,0.0,0.0,Zimbabwe,931394
455,0,AG Cremer,1,40,61,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,931392
456,1,Al-Amin Hossain,2,21,49,2.0,0.0,0.0,2.0,0.0,0.0,Bangladesh,931392
457,2,Arafat Sunny,2,32,56,1.0,0.0,1.0,0.0,0.0,0.0,Bangladesh,931392
458,3,LM Jongwe,1,46,49,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,931392
459,4,Mashrafe Mortaza,2,41,56,1.0,1.0,0.0,0.0,0.0,0.0,Bangladesh,931392
460,5,Mustafizur Rahman,2,30,51,3.0,1.0,0.0,2.0,0.0,0.0,Bangladesh,931392
461,6,Nasir Hossain,2,36,56,2.0,0.0,0.0,1.0,0.0,1.0,Bangladesh,931392
