,index,batsman,innings,runs,balls_faced,zeros,ones,twos,threes,fours,fives,sixes,dismissal_type,strike_batsman_x,offstrike_batsman,bowler,out,batting_pos,strike_batsman_y,batting_team,match_id
5134,10,SL Malinga,1,3,6,5,0,0,1,0,0,0,caught,SL Malinga,PVD Chameera,Imran Tahir,True,11,SL Malinga,Sri Lanka,656483
5135,11,HM Amla,2,16,24,15,5,2,1,1,0,0,caught,HM Amla,Q de Kock,SL Malinga,True,1,HM Amla,South Africa,656483
5136,12,Q de Kock,2,78,62,32,9,6,3,12,0,0,,,,,False,2,Q de Kock,South Africa,656483
5137,13,F du Plessis,2,21,33,17,11,5,0,0,0,0,,,,,False,3,F du Plessis,South Africa,656483
5138,0,WTS Porterfield,1,107,136,78,36,9,1,11,0,1,caught,WTS Porterfield,GC Wilson,Sohail Khan,True,1,WTS Porterfield,Ireland,656481
5139,1,PR Stirling,1,3,8,6,1,1,0,0,0,0,lbw,PR Stirling,WTS Porterfield,Ehsan Adil,True,2,PR Stirling,Ireland,656481
5140,2,EC Joyce,1,11,19,11,7,0,0,1,0,0,caught,EC Joyce,WTS Porterfield,Wahab Riaz,True,3,EC Joyce,Ireland,656481
5141,3,NJ O'Brien,1,12,11,6,2,1,0,2,0,0,caught,NJ O'Brien,WTS Porterfield,Rahat Ali,True,4,NJ O'Brien,Ireland,656481
5142,4,A Balbirnie,1,18,36,21,13,1,1,0,0,0,caught,A Balbirnie,WTS Porterfield,Haris Sohail,True,5,A Balbirnie,Ireland,656481
5143,5,GC Wilson,1,29,40,19,17,2,0,2,0,0,caught,GC Wilson,KJ O'Brien,Sohail Khan,True,6,GC Wilson,Ireland,656481
5144,6,KJ O'Brien,1,8,17,12,4,0,0,1,0,0,caught,KJ O'Brien,JF Mooney,Wahab Riaz,True,7,KJ O'Brien,Ireland,656481
5145,7,SR Thompson,1,12,15,7,6,1,0,1,0,0,caught,SR Thompson,KJ O'Brien,Rahat Ali,True,8,SR Thompson,Ireland,656481
5146,8,JF Mooney,1,13,19,10,7,1,0,1,0,0,caught,JF Mooney,GH Dockrell,Wahab Riaz,True,9,JF Mooney,Ireland,656481
5147,9,GH Dockrell,1,11,8,3,3,1,0,0,0,1,run out,GH Dockrell,AR Cusack,,True,10,GH Dockrell,Ireland,656481
5148,10,AR Cusack,1,1,1,0,1,0,0,0,0,0,,,,,False,11,AR Cusack,Ireland,656481
5149,11,Ahmed Shehzad,2,63,71,40,16,5,3,7,0,0,caught,Ahmed Shehzad,Sarfraz Ahmed,SR Thompson,True,1,Ahmed Shehzad,Pakistan,656481
5150,12,Sarfraz Ahmed,2,101,131,71,37,11,6,6,0,0,,,,,False,2,Sarfraz Ahmed,Pakistan,656481
5151,13,Haris Sohail,2,3,7,5,1,1,0,0,0,0,run out,Sarfraz Ahmed,Haris Sohail,,True,3,Haris Sohail,Pakistan,656481
5152,14,Misbah-ul-Haq,2,39,48,29,13,1,0,3,0,2,hit wicket,Misbah-ul-Haq,Sarfraz Ahmed,AR Cusack,True,4,Misbah-ul-Haq,Pakistan,656481
5153,15,Umar Akmal,2,20,30,22,4,0,0,4,0,0,,,,,False,5,Umar Akmal,Pakistan,656481
5154,0,Amjad Ali,1,5,21,18,1,2,0,0,0,0,lbw,Amjad Ali,Khurram Khan,JO Holder,True,1,Amjad Ali,United Arab Emirates,656479
5155,1,AR Berenger,1,7,8,4,3,0,0,1,0,0,caught,AR Berenger,Amjad Ali,JO Holder,True,2,AR Berenger,United Arab Emirates,656479
5156,2,Krishna Chandran,1,0,7,7,0,0,0,0,0,0,caught,Krishna Chandran,Amjad Ali,JO Holder,True,3,Krishna Chandran,United Arab Emirates,656479
5157,3,Khurram Khan,1,5,5,3,1,0,0,1,0,0,bowled,Khurram Khan,Shaiman Anwar,JE Taylor,True,4,Khurram Khan,United Arab Emirates,656479
5158,4,Shaiman Anwar,1,2,6,5,0,1,0,0,0,0,bowled,Shaiman Anwar,SP Patil,JE Taylor,True,5,Shaiman Anwar,United Arab Emirates,656479
5159,5,SP Patil,1,6,21,16,4,1,0,0,0,0,bowled,SP Patil,Amjad Javed,JO Holder,True,6,SP Patil,United Arab Emirates,656479
5160,6,Amjad Javed,1,56,100,72,18,2,0,7,0,1,bowled,Amjad Javed,Nasir Aziz,AD Russell,True,7,Amjad Javed,United Arab Emirates,656479
5161,7,Nasir Aziz,1,60,89,61,14,4,2,8,0,0,caught,Nasir Aziz,Mohammad Tauqir,MN Samuels,True,8,Nasir Aziz,United Arab Emirates,656479
5162,8,Mohammad Naveed,1,14,9,4,2,1,0,1,0,1,bowled,Mohammad Naveed,Nasir Aziz,AD Russell,True,9,Mohammad Naveed,United Arab Emirates,656479
5163,9,Mohammad Tauqir,1,2,20,18,2,0,0,0,0,0,bowled,Mohammad Tauqir,AM Guruge,JE Taylor,True,10,Mohammad Tauqir,United Arab Emirates,656479
5164,10,AM Guruge,1,4,10,6,4,0,0,0,0,0,,,,,False,11,AM Guruge,United Arab Emirates,656479
5165,11,DR Smith,2,15,9,4,2,0,1,1,0,1,caught,DR Smith,J Charles,AM Guruge,True,1,DR Smith,West Indies,656479
5166,12,J Charles,2,55,40,24,3,2,0,9,0,2,caught,J Charles,JL Carter,Amjad Javed,True,2,J Charles,West Indies,656479
5167,13,MN Samuels,2,9,18,14,2,0,1,1,0,0,caught,MN Samuels,J Charles,AM Guruge,True,3,MN Samuels,West Indies,656479
5168,14,JL Carter,2,50,60,32,18,3,2,5,0,0,,,,,False,4,JL Carter,West Indies,656479
5169,15,AD Russell,2,7,8,6,1,0,0,0,0,1,caught and bowled,AD Russell,JL Carter,Amjad Javed,True,5,AD Russell,West Indies,656479
5170,16,D Ramdin,2,33,51,30,13,6,0,2,0,0,,,,,False,6,D Ramdin,West Indies,656479
5171,0,KJ Coetzer,1,0,11,11,0,0,0,0,0,0,caught,KJ Coetzer,CS MacLeod,MA Starc,True,1,KJ Coetzer,Scotland,656477
5172,1,CS MacLeod,1,22,19,12,2,0,0,5,0,0,caught,CS MacLeod,MW Machan,MA Starc,True,2,CS MacLeod,Scotland,656477
5173,2,MW Machan,1,40,36,19,6,5,0,6,0,0,caught,MW Machan,MH Cross,PJ Cummins,True,3,MW Machan,Scotland,656477
5174,3,PL Mommsen,1,0,2,2,0,0,0,0,0,0,caught,PL Mommsen,MW Machan,SR Watson,True,4,PL Mommsen,Scotland,656477
5175,4,FRJ Coleman,1,0,8,8,0,0,0,0,0,0,caught,FRJ Coleman,MW Machan,MG Johnson,True,5,FRJ Coleman,Scotland,656477
5176,5,RD Berrington,1,1,6,5,1,0,0,0,0,0,caught,RD Berrington,MW Machan,GJ Maxwell,True,6,RD Berrington,Scotland,656477
5177,6,MH Cross,1,9,22,19,1,0,0,2,0,0,caught,MH Cross,JH Davey,PJ Cummins,True,7,MH Cross,Scotland,656477
5178,7,JH Davey,1,26,36,26,3,2,1,4,0,0,bowled,JH Davey,MA Leask,MA Starc,True,8,JH Davey,Scotland,656477
5179,8,RML Taylor,1,0,6,6,0,0,0,0,0,0,caught,RML Taylor,JH Davey,PJ Cummins,True,9,RML Taylor,Scotland,656477
5180,9,MA Leask,1,23,11,4,2,0,0,4,1,0,,,,,False,10,MA Leask,Scotland,656477
5181,10,I Wardlaw,1,0,2,2,0,0,0,0,0,0,bowled,I Wardlaw,MA Leask,MA Starc,True,11,I Wardlaw,Scotland,656477
5182,11,MJ Clarke,2,47,48,32,7,0,0,7,0,2,caught,MJ Clarke,JP Faulkner,I Wardlaw,True,1,MJ Clarke,Australia,656477
5183,12,AJ Finch,2,20,10,4,2,0,0,3,0,1,caught,AJ Finch,MJ Clarke,RML Taylor,True,2,AJ Finch,Australia,656477
5184,13,SR Watson,2,24,23,12,6,1,0,4,0,0,caught,SR Watson,MJ Clarke,JH Davey,True,3,SR Watson,Australia,656477
5185,14,JP Faulkner,2,16,7,2,2,0,0,2,0,1,,,,,False,4,JP Faulkner,Australia,656477
5186,15,DA Warner,2,21,7,2,1,0,0,2,0,2,,,,,False,5,DA Warner,Australia,656477
5187,0,CJ Chibhabha,1,7,17,14,1,1,0,1,0,0,caught,CJ Chibhabha,SF Mire,Mohammed Shami,True,1,CJ Chibhabha,Zimbabwe,656475
5188,1,H Masakadza,1,2,8,6,2,0,0,0,0,0,caught,H Masakadza,CJ Chibhabha,UT Yadav,True,2,H Masakadza,Zimbabwe,656475
5189,2,SF Mire,1,9,23,19,1,2,0,1,0,0,caught,SF Mire,BRM Taylor,MM Sharma,True,3,SF Mire,Zimbabwe,656475
5190,3,BRM Taylor,1,138,111,51,32,8,0,15,0,5,caught,BRM Taylor,CR Ervine,MM Sharma,True,4,BRM Taylor,Zimbabwe,656475
5191,4,SC Williams,1,50,58,33,18,1,0,3,0,3,caught and bowled,SC Williams,BRM Taylor,R Ashwin,True,5,SC Williams,Zimbabwe,656475
5192,5,CR Ervine,1,27,43,25,15,1,0,1,0,1,caught and bowled,CR Ervine,Sikandar Raza,MM Sharma,True,6,CR Ervine,Zimbabwe,656475
5193,6,Sikandar Raza,1,28,15,6,4,1,0,1,0,3,bowled,Sikandar Raza,RW Chakabva,Mohammed Shami,True,7,Sikandar Raza,Zimbabwe,656475
5194,7,RW Chakabva,1,10,14,6,7,0,1,0,0,0,caught,RW Chakabva,T Mupariwa,UT Yadav,True,8,RW Chakabva,Zimbabwe,656475
5195,8,T Panyangara,1,6,6,4,0,1,0,1,0,0,caught,T Panyangara,RW Chakabva,Mohammed Shami,True,9,T Panyangara,Zimbabwe,656475
5196,9,T Mupariwa,1,1,2,1,1,0,0,0,0,0,,,,,False,10,T Mupariwa,Zimbabwe,656475
5197,10,TL Chatara,1,0,3,3,0,0,0,0,0,0,bowled,TL Chatara,T Mupariwa,UT Yadav,True,11,TL Chatara,Zimbabwe,656475
5198,11,RG Sharma,2,16,22,14,4,2,0,2,0,0,caught,RG Sharma,S Dhawan,T Panyangara,True,1,RG Sharma,India,656475
5199,12,S Dhawan,2,4,20,19,0,0,0,1,0,0,bowled,S Dhawan,V Kohli,T Panyangara,True,2,S Dhawan,India,656475
5200,13,V Kohli,2,38,52,29,16,3,0,4,0,0,bowled,V Kohli,SK Raina,Sikandar Raza,True,3,V Kohli,India,656475
