,match_id,home_team,away_team,gender,season,competition,match_number,venue,city,toss_winner,toss_decision,umpire,umpire_2,reserve_umpire,match_referee,winner,winner_wickets,start_date,end_date,winner_runs,series,player_of_match,tv_umpire,neutralvenue,outcome,method,player_of_match_2,reserve_umpire_2,eliminator,match_number_2
1183,247468,Bermuda,India,male,2006/07,ICC World Cup,12,"Queen's Park Oval, Port of Spain",Trinidad,Bermuda,field,Aleem Dar,IL Howell,SJ Davis,AG Hurst,India,,2007/03/19,2007/03/19,257,,V Sehwag,DJ Harper,true,,,,,,
1184,247467,Canada,England,male,2006/07,ICC World Cup,11,"Beausejour Stadium, Gros Islet",St Lucia,Canada,field,BR Doctrove,PD Parker,RE Koertzen,JJ Crowe,England,,2007/03/18,2007/03/18,51,,PD Collingwood,Asad Rauf,true,,,,,,
1185,247466,Australia,Netherlands,male,2006/07,ICC World Cup,10,"Warner Park, Basseterre",St Kitts,Australia,bat,SA Bucknor,AL Hill,MR Benson,J Srinath,Australia,,2007/03/18,2007/03/18,229,,BJ Hodge,EAR de Silva,true,,,,,,
1186,247465,Ireland,Pakistan,male,2006/07,ICC World Cup,9,"Sabina Park, Kingston",Jamaica,Ireland,field,BF Bowden,BG Jerling,IJ Gould,BC Broad,Ireland,3,2007/03/17,2007/03/17,,,NJ O'Brien,SJA Taufel,true,,D/L,,,,
1187,247464,Bangladesh,India,male,2006/07,ICC World Cup,8,"Queen's Park Oval, Port of Spain",Trinidad,India,bat,Aleem Dar,SJ Davis,DJ Harper,AG Hurst,Bangladesh,5,2007/03/17,2007/03/17,,,Mashrafe Mortaza,IL Howell,true,,,,,,
1188,247463,England,New Zealand,male,2006/07,ICC World Cup,6,"Beausejour Stadium, Gros Islet",St Lucia,New Zealand,field,Asad Rauf,RE Koertzen,BR Doctrove,MJ Procter,New Zealand,6,2007/03/16,2007/03/16,,,SB Styris,PD Parker,true,,,,,,
1189,247462,Netherlands,South Africa,male,2006/07,ICC World Cup,7,"Warner Park, Basseterre",St Kitts,Netherlands,field,MR Benson,AL Hill,EAR de Silva,RS Madugalle,South Africa,,2007/03/16,2007/03/16,221,,HH Gibbs,SA Bucknor,true,,,,,,
1190,247461,Ireland,Zimbabwe,male,2006/07,ICC World Cup,5,"Sabina Park, Kingston",Jamaica,Zimbabwe,field,IJ Gould,BG Jerling,SJA Taufel,RS Mahanama,,,2007/03/15,2007/03/15,,,JP Bray,BF Bowden,true,tie,,,,,
1191,247460,Bermuda,Sri Lanka,male,2006/07,ICC World Cup,4,"Queen's Park Oval, Port of Spain",Trinidad,Sri Lanka,bat,DJ Harper,IL Howell,SJ Davis,JJ Crowe,Sri Lanka,,2007/03/15,2007/03/15,243,,DPMD Jayawardene,Aleem Dar,true,,,,,,
1192,247458,Australia,Scotland,male,2006/07,ICC World Cup,2,"Warner Park, Basseterre",St Kitts,Scotland,field,SA Bucknor,EAR de Silva,MR Benson,J Srinath,Australia,,2007/03/14,2007/03/14,203,,RT Ponting,AL Hill,true,,,,,,
1193,247457,West Indies,Pakistan,male,2006/07,ICC World Cup,1,"Sabina Park, Kingston",Jamaica,Pakistan,field,BF Bowden,SJA Taufel,IJ Gould,BC Broad,West Indies,,2007/03/13,2007/03/13,54,,DR Smith,BG Jerling,,,,,,,
1194,244511,India,Pakistan,male,2005/06,DLF Cup,2,Sheikh Zayed Stadium,Abu Dhabi,India,bat,BG Jerling,RE Koertzen,,RS Mahanama,India,,2006/04/19,2006/04/19,51,,R Dravid,TH Wijewardene,true,,,,,,
1195,244510,India,Pakistan,male,2005/06,DLF Cup,1,Sheikh Zayed Stadium,Abu Dhabi,India,bat,BG Jerling,RE Koertzen,,RS Mahanama,Pakistan,6,2006/04/18,2006/04/18,,,Younis Khan,TH Wijewardene,true,,,,,,
1196,239919,West Indies,India,male,2006,,5,"Queen's Park Oval, Port of Spain",Trinidad,India,field,SA Bucknor,SJA Taufel,,BC Broad,West Indies,,2006/05/28,2006/05/28,19,India in West Indies ODI Series,DJ Bravo,BR Doctrove,,,,,,,
1197,239918,West Indies,India,male,2006,,4,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,field,BR Doctrove,SJA Taufel,,BC Broad,West Indies,6,2006/05/26,2006/05/26,,India in West Indies ODI Series,DJ Bravo,SA Bucknor,,,,,,,
1198,239917,West Indies,India,male,2006,,3,"Warner Park, Basseterre",St Kitts,India,bat,Asad Rauf,SA Bucknor,,BC Broad,West Indies,4,2006/05/23,2006/05/23,,India in West Indies ODI Series,RR Sarwan,BR Doctrove,,,,,,,
1199,239916,West Indies,India,male,2006,,2,"Sabina Park, Kingston",Jamaica,India,field,Asad Rauf,BR Doctrove,,BC Broad,West Indies,,2006/05/20,2006/05/20,1,India in West Indies ODI Series,RR Sarwan,NA Malcolm,,,,,,,
1200,239913,West Indies,Zimbabwe,male,2006,,7,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,bat,BF Bowden,BR Doctrove,,BC Broad,West Indies,,2006/05/14,2006/05/14,104,Zimbabwe in West Indies ODI Series,RR Sarwan,SA Bucknor,,,,,,,
1201,239912,West Indies,Zimbabwe,male,2006,,6,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,bat,BF Bowden,SA Bucknor,,BC Broad,,,2006/05/13,2006/05/13,,Zimbabwe in West Indies ODI Series,,BR Doctrove,,no result,,,,,
1202,239911,West Indies,Zimbabwe,male,2006,,5,"Beausejour Stadium, Gros Islet",St Lucia,Zimbabwe,bat,BF Bowden,BR Doctrove,,BC Broad,West Indies,10,2006/05/10,2006/05/10,,Zimbabwe in West Indies ODI Series,CH Gayle,SA Bucknor,,,,,,,
1203,239908,West Indies,Zimbabwe,male,2006,,2,"Antigua Recreation Ground, St John's",Antigua,West Indies,bat,BF Bowden,SA Bucknor,,BC Broad,West Indies,,2006/04/30,2006/04/30,98,Zimbabwe in West Indies ODI Series,JE Taylor,BR Doctrove,,,,,,,
1204,239907,West Indies,Zimbabwe,male,2006,,1,"Antigua Recreation Ground, St John's",Antigua,West Indies,field,BF Bowden,BR Doctrove,,BC Broad,West Indies,5,2006/04/29,2006/04/29,,Zimbabwe in West Indies ODI Series,JE Taylor,SA Bucknor,,,,,,,
1205,238215,Sri Lanka,Pakistan,male,2005/06,,3,Sinhalese Sports Club Ground,Colombo,Pakistan,field,SJ Davis,EAR de Silva,,AG Hurst,Pakistan,4,2006/03/22,2006/03/22,,Pakistan in Sri Lanka ODI Series,Shahid Afridi,PT Manuel,,,,,,,
1206,238214,Sri Lanka,Pakistan,male,2005/06,,2,R Premadasa Stadium,Colombo,Pakistan,field,SJ Davis,TH Wijewardene,,AG Hurst,Pakistan,4,2006/03/19,2006/03/19,,Pakistan in Sri Lanka ODI Series,Abdul Razzaq,PT Manuel,,,,,,,
1207,238213,Sri Lanka,Pakistan,male,2005/06,,1,R Premadasa Stadium,Colombo,Sri Lanka,field,SJ Davis,EAR de Silva,,AG Hurst,,,2006/03/17,2006/03/17,,Pakistan in Sri Lanka ODI Series,,TH Wijewardene,,no result,,,,,
1208,238200,South Africa,Australia,male,2005/06,,5,New Wanderers Stadium,Johannesburg,Australia,bat,Aleem Dar,BG Jerling,,BC Broad,South Africa,1,2006/03/12,2006/03/12,,Australia in South Africa ODI Series,HH Gibbs,KH Hurter,,,,RT Ponting,,,
1209,238199,South Africa,Australia,male,2005/06,,4,Kingsmead,Durban,South Africa,bat,KH Hurter,JW Lloyds,,BC Broad,Australia,1,2006/03/10,2006/03/10,,Australia in South Africa ODI Series,HH Dippenaar,BG Jerling,,,,,,,
1210,238198,South Africa,Australia,male,2005/06,,3,St George's Park,Port Elizabeth,South Africa,field,BG Jerling,JW Lloyds,,BC Broad,Australia,,2006/03/05,2006/03/05,24,Australia in South Africa ODI Series,B Lee,KH Hurter,,,,,,,
1211,238197,South Africa,Australia,male,2005/06,,2,Newlands,Cape Town,South Africa,bat,KH Hurter,JW Lloyds,,BC Broad,South Africa,,2006/03/03,2006/03/03,196,Australia in South Africa ODI Series,M Ntini,BG Jerling,,,,,,,
1212,238196,South Africa,Australia,male,2005/06,,1,SuperSport Park,Centurion,Australia,bat,BG Jerling,JW Lloyds,,BC Broad,South Africa,6,2006/02/26,2006/02/26,,Australia in South Africa ODI Series,GC Smith,KH Hurter,,,D/L,,,,
1213,238194,India,England,male,2005/06,,7,Maharani Usharaje Trust Cricket Ground,Indore,India,field,AV Jayaprakash,RE Koertzen,,RS Mahanama,India,7,2006/04/15,2006/04/15,,England in India ODI Series,S Sreesanth,I Shivram,,,,,,,
1214,238193,India,England,male,2005/06,,6,Keenan Stadium,Jamshedpur,India,bat,K Hariharan,RE Koertzen,,RS Mahanama,England,5,2006/04/12,2006/04/12,,England in India ODI Series,AJ Strauss,AV Jayaprakash,,,,,,,
1215,238190,India,England,male,2005/06,,3,"Nehru Stadium, Fatorda",Margao,India,bat,Asad Rauf,K Hariharan,,RS Mahanama,India,,2006/04/03,2006/04/03,49,England in India ODI Series,Yuvraj Singh,I Shivram,,,,,,,
1216,238189,India,England,male,2005/06,,2,Nahar Singh Stadium,Faridabad,England,bat,Asad Rauf,AV Jayaprakash,,RS Mahanama,India,4,2006/03/31,2006/03/31,,England in India ODI Series,SK Raina,I Shivram,,,,,,,
1217,238188,India,England,male,2005/06,,1,Feroz Shah Kotla,Delhi,England,field,Asad Rauf,AV Jayaprakash,,RS Mahanama,India,,2006/03/28,2006/03/28,39,England in India ODI Series,Harbhajan Singh,K Hariharan,,,,,,,
1218,238179,New Zealand,West Indies,male,2005/06,,5,Eden Park,Auckland,New Zealand,bat,DJ Harper,AL Hill,,MJ Procter,West Indies,3,2006/03/04,2006/03/04,,West Indies in New Zealand ODI Series,DR Smith,BF Bowden,,,,,,,
